Genre1 Partner1 rating,Genre1 Partner2 rating,Genre2 Partner1 rating,Genre2 Partner2 rating,Genre3 Partner1 rating,Genre3 Partner2 rating,Compatibility (0-1)
6,8,1,8,8,0,0.35974069652911633
9,7,0,0,2,0,0.9603418899302636
7,6,7,1,2,7,0.5796146087390268
6,7,6,4,8,9,0.9568221367114196
7,1,9,0,3,1,0.32308684191567644
9,3,3,5,9,1,0.410762548756789
2,8,8,7,9,7,0.7169040625062542
4,4,2,4,1,3,0.9677401675818924
5,0,2,8,4,0,0.5897958044552485
9,7,5,8,8,7,0.8942276877226573
1,9,3,9,2,7,0.28547802399602457
0,2,1,3,5,1,0.8878609225096767
6,1,9,9,9,0,0.42716010538389754
6,5,5,0,3,2,0.7811921586522055
2,4,3,9,7,2,0.5442766901561535
9,8,6,6,2,4,0.9637535604546924
6,8,4,9,9,0,0.36325493163321515
6,3,1,8,0,8,0.34987483679851666
0,2,3,4,7,3,0.8245729279032952
3,8,8,2,8,7,0.6524585962464072
5,3,2,3,6,7,0.9524288649947368
9,7,9,2,4,9,0.5941510127466392
3,5,7,4,0,2,0.9173843655395181
6,1,4,2,4,7,0.7634346131020312
4,3,0,8,5,8,0.481793223010584
4,1,6,6,7,1,0.7211268233080311
3,9,7,4,3,2,0.778691693128899
1,9,5,0,6,8,0.4532360264425729
0,5,3,3,7,6,0.880437313717596
0,3,2,8,8,8,0.6944334544258062
0,0,7,6,5,2,0.9378332745167846
3,6,3,3,1,5,0.8207327257643118
4,7,6,7,1,9,0.5914350199600432
8,7,2,2,9,9,0.9978796090772094
9,7,0,7,0,1,0.681470628204859
6,3,7,2,0,5,0.6422499516685539
2,8,0,5,5,1,0.4812828273373644
3,6,9,4,1,3,0.72841061864413
4,9,9,2,3,6,0.5306692345940259
1,5,2,4,4,9,0.6952484181560259
7,4,7,7,2,8,0.7037647308924676
8,4,4,5,1,6,0.7392528683700749
7,1,9,6,9,4,0.6349430036749676
0,9,9,6,7,9,0.4051779478124371
2,2,1,1,0,6,0.7304155403447076
7,3,8,9,7,7,0.9025107570514216
8,9,5,3,5,5,0.9543766545093877
9,6,8,9,0,0,0.9521909729616571
8,8,0,1,0,7,0.6882432084952251
4,6,6,0,4,3,0.7389634812904292
0,0,7,7,3,3,0.9983332724999863
9,1,9,7,1,7,0.501623265661732
1,3,8,8,8,3,0.8129188613255285
4,1,5,5,1,8,0.6504127344242658
4,6,1,8,9,2,0.47312679226221704
4,3,0,4,1,5,0.744767007538862
4,8,8,9,7,5,0.8467587692927232
9,6,9,3,3,1,0.7391554906734359
1,5,7,8,7,0,0.6452113889237704
0,9,5,2,6,8,0.4893380360450995
7,4,6,3,9,9,0.8631371809938977
4,5,0,4,9,5,0.7665603346985514
0,9,7,2,5,7,0.4166309248208091
1,5,3,4,4,9,0.7514122671613584
6,8,6,7,4,6,0.9039810373273846
3,7,5,8,8,3,0.6439869592357265
4,7,5,6,2,2,0.9422635952344337
4,8,0,7,8,1,0.4049405345128532
6,7,4,5,9,2,0.7513352901112575
0,3,3,8,8,8,0.7873814502487182
6,4,3,6,9,4,0.8075377031681596
1,0,2,3,4,7,0.914025564226573
5,9,2,5,3,1,0.8314284100993089
9,3,0,2,6,7,0.7441004242911571
7,8,6,2,1,7,0.7084326240236283
1,6,8,3,0,6,0.4732513282483081
0,8,1,7,7,9,0.3907020209280585
6,1,3,2,5,9,0.6967312666002115
3,4,3,9,8,5,0.7385530041271687
1,6,9,7,5,5,0.7980646417348285
0,4,8,5,2,8,0.674611687546033
9,0,7,9,3,4,0.4946534776967153
5,4,5,3,6,3,0.9068186703480181
3,7,9,5,9,2,0.5678580648847552
0,2,8,7,5,8,0.8895099054192047
5,3,4,1,3,5,0.8983964307400151
1,8,5,9,8,4,0.5472497111381582
5,1,1,3,8,9,0.8330731885596729
3,8,5,4,0,7,0.5414148272097894
4,1,8,0,5,2,0.5316235267591035
3,5,2,4,7,8,0.9418597413407178
1,0,3,9,6,3,0.7315932174019463
5,2,8,9,9,2,0.6365415994492079
1,3,6,0,4,5,0.7749882713870527
4,5,0,9,1,1,0.5593690825889193
1,4,1,7,1,8,0.5113776282606458
2,8,5,8,1,2,0.7201490571880005
4,5,3,2,6,9,0.9445813287505471
4,5,3,2,9,7,0.9639885203079835
5,1,8,7,6,8,0.894526371736205
4,0,9,9,9,3,0.7323722153757972
1,8,8,0,5,7,0.4352936658951544
6,2,5,3,1,1,0.8806018837873907
2,4,1,6,7,1,0.6691116299939516
0,2,7,8,4,7,0.9272570182648808
0,5,1,4,0,4,0.7077731059045609
4,6,8,5,0,8,0.5077439079527826
5,2,4,4,7,4,0.8791136197556129
7,0,8,7,2,7,0.514612026760226
9,5,0,0,0,7,0.5655291926361172
8,7,4,2,6,6,0.9728299489128082
7,0,0,5,8,6,0.5697639985169487
2,2,5,6,4,8,0.8490123246421195
4,2,2,9,4,3,0.6248902328247768
5,0,6,7,1,3,0.789794245278953
1,7,5,9,0,1,0.671733763295463
7,1,7,5,3,5,0.7009201067196428
3,2,3,0,4,6,0.9335669224261106
8,0,0,9,2,8,0.2420590497199777
7,2,3,9,6,9,0.617536948701573
4,7,2,8,8,6,0.7018593648899475
7,7,8,7,0,8,0.6023267945339951
5,8,6,4,9,2,0.6176063797841349
9,9,9,3,1,5,0.7009155583299842
1,0,0,1,9,5,0.8899571501559016
2,2,7,3,4,4,0.9216993386281925
4,2,8,8,6,4,0.9432250365969984
1,1,1,8,0,5,0.6203702078552507
0,4,0,2,0,3,0.8324412716367826
2,5,9,2,7,8,0.6338884254153019
7,1,5,6,0,5,0.6459621726229235
2,9,5,7,4,0,0.5059217390040858
6,2,7,5,2,8,0.6115533045694825
9,7,6,5,9,6,0.9184398968470383
8,2,6,7,4,9,0.611383243970503
2,0,5,3,9,1,0.5231739123924715
4,1,9,7,7,9,0.8826749533149327
9,4,3,7,4,6,0.6977406281858433
3,8,7,7,8,7,0.8229087958272743
2,5,9,4,8,1,0.5821372480313811
8,8,9,2,4,0,0.5937241133390119
2,6,3,6,6,2,0.7335441392087749
0,9,8,8,9,9,0.5090993207996627
7,6,6,7,1,3,0.9486685903137255
5,8,2,2,6,2,0.8496703627783365
7,8,0,3,8,3,0.7654740209794884
6,3,8,0,0,0,0.5668948263052308
8,1,1,0,7,0,0.4328506180221494
2,2,7,3,4,0,0.8294194182114455
4,8,8,9,8,1,0.6580864844334426
7,6,6,7,7,5,0.9718588428137832
7,9,6,3,5,8,0.8901185215979057
5,9,0,6,7,0,0.4159441654370695
9,1,3,0,0,6,0.3747775193932197
1,4,9,7,0,1,0.9045649529945209
5,2,5,3,7,3,0.8516053923029934
9,8,9,5,8,3,0.7150660900516628
5,1,4,0,5,9,0.6899638860034693
6,9,1,4,9,2,0.6056140051805721
1,2,4,5,2,6,0.9008445096270059
5,5,6,4,0,6,0.7188697833566473
6,7,2,2,8,7,0.9823159458589242
1,3,1,3,3,4,0.9299831688734205
5,2,9,4,3,9,0.6181537040377152
1,5,6,9,9,3,0.5946700666076403
2,5,6,1,6,2,0.6826332595896526
9,1,6,8,7,3,0.5014167309176765
4,0,1,9,6,0,0.3946879617005692
8,6,4,4,7,9,0.9235015515883643
8,5,6,3,3,5,0.8675938544179216
1,4,1,3,3,6,0.9027680140581815
4,8,0,1,4,1,0.790416114137272
5,1,1,2,3,0,0.844654385525659
2,2,9,7,8,0,0.5517498082348583
7,2,5,6,6,0,0.6496060915935178
5,5,4,1,1,6,0.8131614437309105
5,0,2,1,7,9,0.8271666225880641
3,2,7,9,9,8,0.975102405749516
2,2,8,0,2,6,0.5814606801171983
3,1,5,6,1,2,0.9699537093294238
7,1,3,5,9,9,0.7722994556711251
5,7,0,8,4,8,0.49599116232753854
5,4,1,4,5,0,0.767175663586866
8,4,4,5,2,6,0.7541488339663757
2,3,4,1,9,8,0.9538033443812245
9,9,7,3,6,0,0.6602957578622582
1,1,5,4,8,4,0.9027645016259855
0,7,9,6,4,6,0.6340413846288049
0,6,5,4,6,1,0.5926823572250214
8,7,0,4,5,6,0.8702545187406424
7,6,1,0,6,1,0.820422161870836
3,6,0,1,0,4,0.8643056197980276
1,6,8,9,3,9,0.680792462819288
5,5,3,6,3,6,0.9212539083277987
7,7,6,2,8,2,0.688446627712382
9,6,3,3,5,7,0.9399742971539843
6,9,8,2,1,3,0.7153968236884686
5,8,2,4,5,9,0.8207387563792659
6,1,1,9,3,0,0.4711798288020566
1,5,1,3,5,5,0.8832776986752673
0,2,7,6,3,4,0.9823621148442789
8,5,9,7,7,5,0.8910811430286995
7,7,0,3,4,5,0.9476443212189576
1,5,1,3,2,0,0.8463923326566855
2,5,8,9,3,8,0.753237150318252
3,4,5,8,1,8,0.6883298093584176
8,7,2,4,3,0,0.9293790636430901
1,6,8,5,2,1,0.8010518119227128
8,2,3,7,4,2,0.6875166445537817
9,7,3,5,7,1,0.7522728065219985
1,8,2,0,5,4,0.6540907111166995
8,4,3,3,1,8,0.6580600726212402
3,3,6,8,0,5,0.8064506368466665
6,3,9,0,6,0,0.33389810723991775
0,8,3,8,3,7,0.4221207332999966
0,8,2,9,3,1,0.3256235114208071
9,1,6,0,6,9,0.40126713137021147
4,7,2,0,3,4,0.8971696125085894
5,5,3,2,1,9,0.6182151939545806
9,1,5,3,5,7,0.620210693117753
0,0,8,3,2,4,0.8338599866214226
5,4,0,4,8,3,0.7491681097646611
0,5,9,6,8,8,0.7955401013408132
5,8,7,2,0,2,0.8008889315012578
1,6,5,8,6,0,0.5433382524512224
3,2,7,9,9,8,0.9532465477269986
7,7,6,8,7,2,0.8222613674069675
8,9,7,3,0,7,0.5719553318497496
6,4,2,9,8,4,0.5360307925501926
6,1,3,5,1,3,0.799786960834797
3,5,0,0,7,3,0.8736946246645725
1,9,0,0,5,2,0.5427354030626266
4,0,9,8,8,5,0.8033005943022836
6,0,4,6,5,7,0.6953169975826886
9,0,6,1,1,9,0.18396524704682643
1,9,5,3,5,2,0.582646188014172
4,9,5,3,2,8,0.5440434928585156
7,1,4,3,4,4,0.7746696841794947
6,8,5,3,0,6,0.7314510635947904
8,7,3,7,7,2,0.7476674200994182
0,8,1,1,2,8,0.4647882941378845
3,2,2,4,3,2,0.9524338042826225
5,3,2,2,1,3,0.9461005994644512
2,4,4,8,9,4,0.7581274452943615
4,5,5,1,7,3,0.8074050482707488
8,9,6,9,8,8,0.9580636800343806
7,4,7,1,2,7,0.6219377591847521
6,8,3,5,2,4,0.8899977333982515
4,1,1,2,0,0,0.9144021775294131
7,2,9,3,6,8,0.6017271103528132
3,9,7,3,1,2,0.6636123132792401
1,1,5,6,0,8,0.62358517215008
3,9,5,0,1,2,0.6676646243623227
2,8,1,4,2,9,0.47876497226921433
5,1,4,3,7,0,0.5697862960404851
5,4,2,0,8,1,0.6580799495644334
8,7,8,9,8,9,0.9807473310881324
2,6,5,6,4,9,0.690612941094546
9,9,4,1,0,4,0.8367124031785559
3,0,3,7,5,6,0.8324952518603417
6,8,9,2,8,0,0.34292705833191056
7,7,2,8,9,5,0.6846459566732626
3,8,8,2,7,9,0.548998165730865
9,5,3,3,6,2,0.802408087183702
9,8,3,7,7,6,0.8686347085835644
4,7,5,5,7,0,0.6648554815045565
1,7,7,6,0,9,0.3598309849970166
3,1,2,5,6,9,0.8335364954098955
9,1,8,8,0,3,0.5538825129250222
6,2,6,6,1,9,0.5632694530363113
5,5,9,9,0,7,0.7008273491450292
4,4,2,5,5,0,0.7932903259839759
9,1,9,0,3,8,0.20199101902988742
1,8,9,5,1,5,0.49266147096111157
8,1,2,3,5,6,0.6168675218613487
8,1,1,8,3,0,0.3913289744579837
9,8,3,0,7,4,0.8201392719280713
7,0,0,0,7,2,0.5822258488023275
5,2,8,4,2,5,0.8027540281015411
3,6,4,1,3,2,0.889796504181323
5,2,5,0,9,1,0.48562789651650407
5,0,3,4,6,3,0.7356164895560686
0,9,8,1,1,3,0.32285132808570377
2,0,2,3,9,9,0.9616685176497503
7,6,8,7,1,6,0.8261160333657016
6,2,5,1,7,6,0.8259871636432923
5,8,4,2,4,3,0.9161721017304719
9,0,7,1,9,6,0.3274543170594998
9,3,8,6,3,4,0.7803101462089004
0,0,4,8,3,9,0.6423188468406085
5,5,3,6,0,5,0.7875080048108332
3,8,6,2,7,7,0.727272368584641
8,8,2,2,9,4,0.8340808727760984
8,0,9,9,8,0,0.40850233726206187
8,9,5,3,6,4,0.945852655300581
0,4,2,9,0,2,0.5415555299897173
6,7,0,6,9,8,0.7897381454733827
6,0,2,7,4,5,0.6431491457672307
4,3,6,7,6,0,0.7741409766778533
7,3,0,7,1,3,0.5971890323869697
3,6,7,2,9,1,0.3988628401024004
8,2,4,5,7,6,0.7576676092656988
8,8,6,7,0,4,0.8733414551077557
3,9,9,2,6,2,0.4386259081424309
3,4,3,7,6,3,0.8617604781931286
1,5,1,0,4,2,0.8933004652286254
0,5,6,8,1,1,0.8494250880054296
7,6,5,9,8,0,0.5072314411697718
3,6,3,3,3,0,0.8772764059994239
6,5,3,8,6,2,0.6817484332365654
1,1,9,3,3,7,0.6631282447611668
2,3,6,6,6,8,0.9680200044953973
8,0,7,6,3,9,0.4685730971636027
0,9,2,1,7,2,0.35266040607096294
4,8,3,8,7,1,0.6376666659399507
2,6,1,6,4,2,0.6667107258296703
2,7,7,0,5,2,0.5548319473243438
3,2,0,8,9,4,0.4639037433590667
8,1,5,4,4,1,0.6602277738245523
0,9,4,2,6,6,0.4972488335898899
6,6,9,2,0,2,0.6605155754723357
7,4,3,4,8,9,0.9619539733995303
0,4,9,5,9,4,0.6026572808343386
2,2,2,1,5,2,0.9093006124702396
9,4,0,3,5,3,0.687561218477639
5,6,8,5,0,0,0.9346720106352444
5,9,9,0,2,8,0.29707834066207367
2,1,1,0,3,0,0.9199421291660121
6,5,3,1,5,9,0.872366165829709
4,9,6,7,0,3,0.7939453527547332
1,3,3,5,8,8,0.9493716401512136
1,9,9,3,4,8,0.4075268031913442
9,7,5,4,9,1,0.5877929502316194
3,2,5,1,7,4,0.8360994946699469
6,4,5,0,5,0,0.6744483000113154
2,7,7,1,9,3,0.4235726611275943
6,9,5,3,0,5,0.7230211558135762
8,7,5,7,4,2,0.9461650642628064
5,3,9,8,0,5,0.7913468090203117
5,8,6,8,4,7,0.8690337578811147
9,8,1,1,0,1,0.9916648126293364
4,9,0,0,8,3,0.7141390795302417
5,8,4,7,5,7,0.844591990099485
9,3,3,0,5,5,0.758287496511554
2,7,4,9,4,5,0.7132839750594467
1,4,7,3,1,4,0.7430043090617977
8,1,1,8,9,0,0.19154766920084884
5,9,1,4,0,9,0.39771735289337695
1,2,6,0,5,8,0.7187260425248019
2,9,1,5,0,2,0.5344881343815078
3,2,0,8,4,2,0.5492126741116584
5,4,6,2,1,6,0.7596810767949513
6,2,6,8,7,1,0.6552943858235946
3,9,7,4,3,5,0.6452516265304412
7,5,7,5,4,3,0.9136411516917045
3,3,9,9,9,7,0.9719010336441795
1,1,6,4,7,4,0.9134335256494774
7,1,4,5,2,0,0.7940042194036886
8,9,7,9,3,1,0.9240346852260467
9,7,7,7,2,8,0.756425811299612
9,7,4,9,1,0,0.82616407862419
3,2,5,8,5,4,0.9336619013821424
0,2,0,3,8,1,0.6510315932309001
7,8,9,4,9,6,0.785410706509576
2,7,4,3,6,5,0.8356899984083671
3,6,7,8,7,4,0.8764716512605807
8,5,5,5,1,0,0.9055180173109046
6,2,0,1,4,6,0.8682910241381945
6,0,0,4,2,8,0.44395449439009926
3,4,4,7,7,8,0.9359276532833596
2,6,8,5,7,1,0.6097190795773958
4,3,4,2,6,6,0.9475111701157721
2,1,7,4,5,7,0.8846462307157109
9,4,7,3,4,6,0.7269727721891666
8,3,1,5,6,1,0.6218366328113621
4,0,9,8,8,1,0.6804791197574527
5,3,8,8,2,7,0.7904987398615422
5,1,8,0,9,7,0.5497269858170902
9,2,3,9,6,0,0.39865246427613754
3,9,5,2,8,7,0.7034637306248707
2,7,3,8,3,4,0.6505790870619176
9,0,7,0,3,6,0.26607086176864103
4,9,3,7,9,7,0.7252219256338521
4,7,8,5,1,9,0.5458580426343204
2,0,5,4,6,9,0.8777412904086179
9,1,7,4,0,0,0.5288251938614557
1,6,2,2,2,0,0.7886823096017574
6,3,7,4,9,7,0.8475172825988229
5,1,5,3,9,7,0.8515349616110997
8,0,9,4,5,8,0.4714372475865172
2,8,5,4,7,8,0.7284139842826832
9,5,5,1,4,7,0.6820130560855443
0,9,0,5,3,9,0.27851711549872327
1,5,1,3,5,3,0.8173656775416989
5,2,0,8,6,4,0.4928928879608058
9,4,2,8,5,6,0.6169280763743638
7,2,2,3,8,9,0.8325448696551645
4,7,0,4,5,9,0.7001376623000601
7,3,7,3,8,4,0.7457484651161521
0,5,7,9,2,6,0.7012289365531307
5,3,9,8,4,3,0.9514833337587506
2,7,8,7,6,6,0.8218992411493301
6,4,1,7,8,5,0.6721852029745213
7,8,4,9,3,4,0.795586964815668
8,5,2,9,9,7,0.6053220567578391
4,4,5,9,7,4,0.8542369529775428
6,2,6,7,0,4,0.7828751573534238
8,8,1,4,7,8,0.9321063013268664
8,8,3,4,9,3,0.7537594572259579
4,7,3,6,7,3,0.8414315051604384
7,8,9,0,0,3,0.4660274873203523
0,0,6,1,6,6,0.85233401255008
4,0,5,2,5,6,0.7995218500596145
7,3,2,7,0,4,0.6270236657475119
2,0,9,8,6,8,0.9206435643911003
8,0,2,6,2,9,0.38302009227058414
6,3,9,5,4,8,0.754519185356103
8,2,3,3,4,6,0.7896259995465021
4,6,6,7,2,8,0.7331183367501646
3,8,1,5,9,4,0.58884879068303
8,0,9,4,1,7,0.3466900494153146
8,5,4,7,1,1,0.8478657938934061
4,3,5,2,6,0,0.6794710449591921
8,7,3,8,9,2,0.5842225941057395
3,7,5,6,6,6,0.9235326953772949
1,1,6,7,0,3,0.9446858690878922
2,9,7,6,8,5,0.6743623857016973
7,5,2,8,8,5,0.7272565887519229
6,7,4,5,1,0,0.9789585518117446
0,3,2,7,3,8,0.6168976744350942
1,9,5,4,3,4,0.5793690960344778
5,0,1,9,4,8,0.4033573475274426
6,2,8,7,0,2,0.849258878409253
0,3,9,6,8,7,0.8785729313795847
1,4,0,1,9,6,0.8869019591891366
8,8,1,6,3,0,0.7697375653803014
2,1,8,9,4,7,0.9090672014955886
9,0,6,5,6,8,0.44286664553195565
1,9,0,5,4,7,0.4777991353961252
7,5,7,6,4,6,0.9523356708517104
2,3,5,2,9,8,0.9132123800028035
9,7,3,3,6,7,0.9539823184502291
4,6,7,8,6,0,0.7644183590900965
4,5,1,2,0,0,0.9871018507290736
6,2,7,1,6,5,0.6809380011969622
